run,run_id,pr1_count,pr2_count,pr_count,pr_ad_load,pr1_scam_count,pr2_scam_count,pr_scam_count,pr1_scam_rate,pr2_scam_rate,pr_scam_rate,unavailable_count,video_set,personalization_on,activity_on,side_count,promoted_vid_count,all_ad_rate,location,side_pv_load,predatory_load
1,0907_2127_sublinears,237,122,359,0.11966666666666667,6,5,11,0.02531645569620253,0.040983606557377046,0.03064066852367688,2,entertainment,True,False,291.0,8.0,0.2193,east,0.09966666666666667,0.0036666666666666666
1,0907_2127_banachnorm,237,137,374,0.12466666666666666,8,10,18,0.03375527426160337,0.072992700729927,0.0481283422459893,2,entertainment,False,False,352.0,10.0,0.24530000000000002,east,0.12066666666666667,0.006
1,0907_2027_affineroot,282,148,430,0.14333333333333334,3,2,5,0.010638297872340425,0.013513513513513514,0.011627906976744186,2,entertainment,True,True,157.0,60.0,0.2157,central,0.07233333333333333,0.0016666666666666668
1,0907_2027_kahlerform,232,141,373,0.12433333333333334,5,2,7,0.021551724137931036,0.014184397163120567,0.01876675603217158,2,entertainment,True,False,296.0,14.0,0.22769999999999999,central,0.10333333333333333,0.0023333333333333335
1,0907_2027_clopentopo,245,131,376,0.12533333333333332,6,5,11,0.024489795918367346,0.03816793893129771,0.02925531914893617,2,entertainment,False,False,282.0,26.0,0.228,central,0.10266666666666667,0.0036666666666666666
1,0907_1827_eigentrace,231,113,344,0.11466666666666667,0,1,1,0.0,0.008849557522123894,0.0029069767441860465,2,entertainment,True,True,113.0,46.0,0.1677,west,0.053,0.0003333333333333333
1,0907_1827_nonlattice,245,133,378,0.126,10,9,19,0.04081632653061224,0.06766917293233082,0.05026455026455026,2,entertainment,True,False,223.0,11.0,0.204,west,0.078,0.006333333333333333
1,0907_1827_maxiconvex,238,144,382,0.12733333333333333,9,9,18,0.037815126050420166,0.0625,0.04712041884816754,3,entertainment,False,False,309.0,11.0,0.23399999999999999,west,0.10666666666666667,0.006
1,0911_1713_sublinears,121,57,178,0.059333333333333335,8,6,14,0.06611570247933884,0.10526315789473684,0.07865168539325842,9,conspiracy,True,True,227.0,31.0,0.14529999999999998,east,0.086,0.004666666666666667
1,0911_1713_nonconcave,148,128,276,0.092,36,28,64,0.24324324324324326,0.21875,0.2318840579710145,9,conspiracy,True,False,687.0,12.0,0.325,east,0.233,0.021333333333333333
1,0911_1713_banachnorm,152,140,292,0.09733333333333333,56,55,111,0.3684210526315789,0.39285714285714285,0.3801369863013699,9,conspiracy,False,False,1035.0,33.0,0.4533,east,0.356,0.037
1,0911_1613_clopentopo,117,78,195,0.065,7,6,13,0.05982905982905983,0.07692307692307693,0.06666666666666667,9,conspiracy,True,True,245.0,41.0,0.1603,central,0.09533333333333334,0.004333333333333333
1,0911_1613_kahlerform,141,136,277,0.09233333333333334,25,18,43,0.1773049645390071,0.1323529411764706,0.1552346570397112,9,conspiracy,True,False,568.0,10.0,0.285,central,0.19266666666666668,0.014333333333333333
1,0911_1613_affineroot,204,173,377,0.12566666666666668,59,59,118,0.28921568627450983,0.34104046242774566,0.3129973474801061,9,conspiracy,False,False,789.0,14.0,0.3933,central,0.26766666666666666,0.03933333333333333
1,0911_1413_nonlattice,112,65,177,0.059,9,9,18,0.08035714285714286,0.13846153846153847,0.1016949152542373,9,conspiracy,True,True,280.0,44.0,0.16699999999999998,west,0.108,0.006
1,0911_1413_eigentrace,153,121,274,0.09133333333333334,45,36,81,0.29411764705882354,0.2975206611570248,0.2956204379562044,9,conspiracy,True,False,716.0,20.0,0.3367,west,0.24533333333333332,0.027
1,0911_1413_maxiconvex,154,131,285,0.095,45,43,88,0.2922077922077922,0.3282442748091603,0.3087719298245614,9,conspiracy,False,False,903.0,16.0,0.40130000000000005,west,0.30633333333333335,0.029333333333333333
1,1006_2347_banachnorm,154,78,232,0.07733333333333334,5,6,11,0.032467532467532464,0.07692307692307693,0.04741379310344827,1,news,True,True,705.0,128.0,0.355,east,0.2776666666666667,0.0036666666666666666
1,1006_2347_nonconcave,196,128,324,0.108,28,21,49,0.14285714285714285,0.1640625,0.15123456790123457,1,news,True,False,1448.0,19.0,0.597,east,0.489,0.01633333333333333
1,1006_2347_sublinears,185,117,302,0.10066666666666667,47,18,65,0.25405405405405407,0.15384615384615385,0.2152317880794702,1,news,False,False,1040.0,39.0,0.4603,east,0.3596666666666667,0.021666666666666667
